,comment_text,comment_party,comment_name,interrupted_speaker_party,interrupted_speaker,date,speech_id,preceding_context,sentiment
528,Bisschen übertrieben!,FDP,Maximilian Mordhorst,CDU/CSU,Dr. Oliver Vogt,2023-03-31,191590,"ebe Kolleginnen und Kollegen, ist ein beispielloser Vorgang in der Geschichte der Bundesrepublik Deutschland, (Maximilian Mordhorst [FDP]: Oh Gott! Hängen Sie es nicht so hoch!) den Sie auch durch Ihren 30-stündigen Koalitionsausschuss nicht aus der Welt schaffen konnten. (Beifall bei der CDU/CSU – ",1
529,Für Sie immer noch „Sie“!,DIE LINKE,Caren Lay,AfD,Theodor Hemmelgarn,2020-10-08,170136,"llen. (Beifall bei der AfD) Drittens. Legt euren Hochmut ab! Ihr seid nicht die besseren und klügeren Menschen. (Dr. Gesine Lötzsch [DIE LINKE]: Ich wusste nicht, dass wir uns duzen!) Eure Rezepte haben vor 30 Jahren nicht funktioniert, und sie funktionieren auch heute nicht. (Beifall bei der AfD – ",1
530,Ich habe doch gerade den anderen Teil zitiert! Ich habe Ihnen gerade das Gegenteil erzählt!,SPD,Ulrich Kelber,CDU/CSU,Dr. Georg Nüßlein,2011-04-15,105951,"möchte. Drittens zwingen Sie mich jetzt, noch einmal zu sagen, dass Sie da eine klare Vereinbarung mit den Versorgern getroffen haben, in der steht: Die Bundesregierung wird keine Initiative ergreifen, um diesen Sicherheitsstandard und die diesem zugrunde liegende Sicherheitsphilosophie zu ändern. (",1
531,"Sie sollten im Mittelpunkt stehen, tun es aber nicht! Deshalb brauchen wir eine neue Regierung!",FDP,Dirk Niebel,CDU/CSU,Dr. Ralf Brauksiepe,2009-04-23,93221,"rbeiten und sich an die Regeln in diesem Land halten, müssen sich in der Politik wiederfinden. Diese Menschen spielen in Ihren Anträgen niemals eine Rolle, sie stehen aber im Mittelpunkt der Politik, die wir in der Großen Koalition machen und für die wir als CDU/CSU stehen. Genau dafür stehen wir. (",0
532,Der Scharping!,FDP,Georg Gallus,SPD,Elke Ferner,1994-04-14,18625," wird, der seit  35 Monaten in diesem Bundestag liegt.  (Ernst Hinsken [CDU/CSU]: Das sind nicht  einmal drei Jahre!)  — Das sind knapp drei Jahre, Herr Hinsken. Nächsten  Monat wäre es dann soweit.  Sie haben soeben gesagt: Wir brauchen hier noch  Erkenntnisse, wir brauchen da noch Erkenntnisse.  (",0
533,Wo ist Lafo?,CDU/CSU,Michael Glos,SPD,Georg Wagner,1999-05-06,43175,"ernativen sichtbar wurden, nachdem überhaupt keine konkreten Vorschläge gemacht wurden, (Dr. Theodor Waigel [CDU/CSU]: Was macht Lafontaine?) Adolf Roth (Gießen) sondern nur Erhöhungsanträge gestellt worden sind, muß ich Ihnen sagen: Das hängt damit zusammen, daß Ihr Oberbefehlshaber nicht da war. (",0
534,"Urbaniak, wie wäre es,  wenn ihr im Ruhrgebiet statt Sozialpläne  Arbeitsplätze schafft!",CDU/CSU,Lau mann,SPD,Eberhard Urbaniak,1996-02-09,27909," Inkrafttretens dieses  Gesetzes auf diese Weise ausgeschieden sind, und  dafür zu sorgen, daß sie durch das, was Sie bei der  Arbeitslosenversicherung und der Rentenversicherung vorhaben, nicht negativ betroffen werden.  (Reiner Krziskewitz [CDU/CSU]: Das ist  doch keine Intervention! - Karl-Josef ",1
535,"Die Linke weiß nicht,  was die Rechte tut!",SPD,Günter Gloser,CDU/CSU,Dr. Michael Fuchs,2004-03-25,65962,"n Sie denn eigentlich?) Weitere Steuererhöhungen können wir in Deutschland nicht mehr gebrauchen. (Rainder Steenblock [GRÜNE]: Mehr Subventionen?) Wo ist denn Ihre Hilfe für den Standort Deutschland geblieben? Wo bleibt Ihr Einsatz dafür, dass die Bedingungen in diesen Regionen verbessert werden?  (",0
536,Haben Sie schon einmal von Prophylaxe gehört?,FDP,Dr. Dieter Thomae,GRÜNE,Katrin Göring-Eckardt,1999-06-24,43732,"ätsstärkungsgesetz dafür gesorgt, daß einige der dramatischsten Verschlechterungen im Gesundheitsbereich zurückgenommen worden sind. Ich erinnere nur an die Versorgung der Jungen mit Zahnersatz, wo Sie nach dem Motto „Sollen sie doch Zähne putzen“ vom solidarischen Prinzip Abschied genommen haben. (",0
537,Die CDU ist vielleicht eine Karteileiche!,GRÜNE,Oliver Krischer,CDU/CSU,Oliver Grundmann,2018-10-19,152802,"ht hilft, Herr Staatssekretär Pronold und Frau Dr. Hoffmann, sind – das habe ich an dieser Stelle schon mehrfach gesagt – fragwürdige Studien mit Tausenden Dieseltoten, die sich bei genauerem Hinsehen als Karteileichen entlarven. (Beifall bei der AfD und der FDP sowie bei Abgeordneten der CDU/CSU – ",1
538,Stimmt doch nicht! Frau Tillmann sagt: Das kostet einen Haufen Geld! Sie sagen: Das bringt einen Haufen Geld! Also was?,GRÜNE,Stefan Schmidt,CDU/CSU,Sebastian Brehm,2022-12-02,188494,ung und das Vorziehen des Abbaus der kalten Progression auf 2022. (Kay Gottschalk [AfD]: Das war eine AfD-Forderung!) Deswegen können wir diesem Gesetz nicht zustimmen. Wir lehnen dieses Gesetz ab. Sie machen als Ampel die Menschen in unserem Land Tag für Tag ärmer. (Katharina Beck [GRÜNE]: Nein! – ,0
539,Hört! Hört!,CDU/CSU,Ernst Hinsken,CDU/CSU,Wolfgang Meckelburg,2005-06-03,72289,"tes!) Das hat nicht ganz funktioniert. Damals, im August 2002, hatten wir 4 Millionen Arbeitslose, heute sind es 5 Millionen. (Dr. Heinrich L. Kolb [FDP]: Fast um die  Hälfte erhöht!) Damals hatten wir 27,6 Millionen sozialversicherungspflichtig Beschäftigte, heute sind es nur noch 26,1 Millionen. (",0
540,Wie bitte? Das ist schäbig!,DIE LINKE,Heike Hänsel,CDU/CSU,Henning Otte,2014-02-20,124601,"Sehr geehrte Frau Buchholz, die Dauer Ihrer Kurzintervention zeigt, dass Sie nach Argumenten dafür suchen, warum es Ihnen in Ihren Reden nicht gelungen ist, deutlich zu machen, dass auch Sie für gefallene deutsche Soldaten Trauer empfinden,  (",1
541,Eine Unverschämtheit!,CDU/CSU,<unknown>,CDU/CSU,Wolfgang Bosbach,2003-01-16,59859," 15. Januar: Niemand soll uns vorwerfen, wie hätten nicht vor Wulff gewarnt. Wulff ist nicht nur der blasse Leisetreter und Warmduscher, als der er gemeinhin im Lande gilt, er ist ein strammer Konservativer, der das Rad der Geschichte zurückdrehen will. Er will einen Polizei- und Überwachungsstaat. ",1
542,Sind das jetzt schon unsere ostdeutschen Bundesländer?,CDU/CSU,von Klaeden,GRÜNE,Oswald Metzger,2001-11-28,55324,"ie banale Wahrheit. (Beifall beim GRÜNE sowie bei Abgeordneten der SPD) Frau Merkel, Sie kommen doch aus dem Osten. Sie stellen sich hier hin und sagen, die Investitionsquote sinke im Jahr 2002. Warum sinkt sie denn gegenüber dem Regierungsentwurf? Weil wir Ihren ostdeutschen Bundesländern  (Eckart ",0
543,Ja!,DIE LINKE,Dr. Ilja Seifert,FDP,Dr. Erwin Lotter,2010-12-16,103153,"Dr. Ilja Seifert [DIE LINKE]: Fragen Sie mal  die Betroffenen!) Niemand weiß das besser als die Linke selbst. (Dr. Ilja Seifert [DIE LINKE]: Fragen Sie  doch mal die Betroffenen!) Sie, Herr Kollege Seifert, haben die Bundesregierung im Juni und im Oktober 2010 nach einem Erfahrungsbericht gefragt. (",2
544,Verstehen muss man auch noch!,CDU/CSU,Dr. Jan-Marco Luczak,DIE LINKE,Stefan Liebich,2018-06-29,150727,"Herr Hirte, Sie haben gesagt, ich solle Ihnen zuhören; dann würde ich noch was lernen. (",0
545,"Das Risiko verdient, eingegangen zu werden!",GRÜNE,Philip Winkler,SPD,Helga Lopez,2008-03-14,86709,"nterschied. Wir ahnen – ich muss sagen: ahnen; aber wir haben darüber viele Berichte gehört –, dass die Fälle, in denen Kinder getötet und abgelegt werden, weder durch Babyklappen noch durch die Ermöglichung anonymer Geburt reduziert werden, leider.  (Maria Eichhorn [CDU/CSU]: Wer weiß das? – Josef ",0
546,Wie denn?,SPD,Ingrid Arndt-Brauer,CDU/CSU,Ernst Hinsken,2005-01-27,70275,"eits schließen mussten, wie viele Arbeitsplätze dabei verloren gingen und wie hoch die Steuerausfälle sind! Die Beantwortung der Fragen, die meine Kolleginnen und Kollegen gestellt haben, ist mangelhaft. Während sich die Bundesregierung weigert, etwas zu tun, haben andere Staaten längst reagiert.  (",0
547,Mei nen Sie Bundeskanzler Kohl?,CDU/CSU,Dietmar Kansy,DIE LINKE,Dr. Dagmar Enkelmann,1991-06-20,1969,"r in der „Welt"" 1982 formulierte:  Meine These, daß die zwei Quadratkilometer um  Bundeshaus und Kanzleramt nicht typisch sind  für die Bundesrepublik Deutschland, hat sich für  mich eindeutig bestätigt.  Hier stimme ich ausnahmsweise — ich betone: ausnahmsweise — mit Herrn Kohl überein.  (Dr.-Ing. ",0
548,Worüber hat die  Ministerin gerade geredet? Über sich selbst?,CDU/CSU,Norbert Barthle,FDP,Daniel Bahr,2007-11-27,84472,"eginnen und Kollegen! Die Rede der Bundesgesundheitsministerin hat gezeigt, dass Union und SPD immer noch keine gemeinsame Richtung finden.  (Carl-Ludwig Thiele [FDP]: Genau! Sehr richtig!) Die Koalition beschäftigt sich weiterhin mit sich selbst, kümmert sich aber nicht um die Probleme im Lande.  (",0
549,Sehr gut!,CDU/CSU,Steffen Kampeter,SPD,Peer Steinbrück,2005-12-01,72874,"nen, benötigt dieser Staat Ressourcen. Wir brauchen einen handlungsfähigen Staat. Die Menschen erwarten, dass wir die Infrastruktur finanzieren, dass wir Daseinsvorsorge betreiben, dass wir die innere und äußere Sicherheit finanzieren und dass wir in Bildung, Forschung und Entwicklung investieren. (",2
550,Weniger als 50 Prozent!,GRÜNE,Matthias Gastel,CDU/CSU,Steffen Bilger,2014-11-06,128451,"Gesetz beschließen können, um die Pkw-Maut in Deutschland einzuführen.  Liebe Frau Kollegin Wilms, ich finde es dann auch nicht angemessen, von dummen Ideen und dummen Gesetzen zu sprechen. Wir machen eine vernünftige Lösung, die auch den Rückhalt in der Bevölkerung hat.  (Beifall bei der CDU/CSU – ",1
551,Auch von den Sozialverbänden!,SPD,Elke Ferner,CDU/CSU,Johannes Singhammer,2011-11-22,109948,"den nächsten Wochen und Monaten auch den pflegebedürftigen Menschen und ihren Angehörigen ein höheres Maß an Sicherheit anbieten können. (Mechthild Rawert [SPD]: In den nächsten  Monaten und Jahren!) – Ich habe schon darauf gewartet, dass hier vonseiten der Opposition Kritik und Geschmäckle kommt. (",0
552,"Nicht nur jetzt, schon immer!",CDU/CSU,Volker Kauder,GRÜNE,Tabea Rößner,2014-04-09,125511,"n bedeutsames Urteil vor dem Bundesverfassungsgericht. Das Gericht bestätigte, was wir angeprangert hatten: Es gibt zu viel Staatseinfluss in den Aufsichtsgremien des ZDF. Es wurde natürlich viel über das Urteil geredet. Selbst Kollege Volker Kauder entdeckte plötzlich seine Liebe zur Staatsferne  (",0
553,Ich höre Ihnen immer zu! Es graust mich sehr!,SPD,Ingrid Holzhüter,CDU/CSU,Günter Nooke,2002-01-31,56091,"eder Weihnachten?) Was die Bundesregierung in Sachen Forschungsansiedlung in Ostdeutschland getan hat, will ich nun an einem Beispiel deutlich machen, nämlich wo es um die Zinsersparnisse aus dem Verkauf der UMTS-Lizenzen ging. (Ingrid Holzhüter [SPD]: Ja!) – Hören Sie mal gut zu, Frau Holzhüter!  (",1
554,FDP!,SPD,Elke Ferner,FDP,Heinz Lanfermann,2009-02-12,91971," Selbstverwaltung soll schuld sein. In Wahrheit macht sie ein schlechtes Gesetz und mischt sich massiv in die Verhandlungen ein – das berichten alle, die dabei waren –, aber dann hat sie nichts mehr damit zu tun. Nein, Verantwortung und Chaos haben einen Namen, Frau Schmidt.  (Beifall bei der FDP – ",0
555,Was ist denn in Ihrem Koordinatensystem nicht in Ordnung?,DIE LINKE,Jan Korte,SPD,Dr. Sascha Raabe,2019-01-30,155042,"schnell gewandelt, auch schon in Richtung Autokratie, Richtung Diktatur. Und ich habe viele Dienstreisen erlebt, wo Kolleginnen und Kollegen von Ihnen mit dem Regime dort nicht etwa einen kritischen Dialog geführt haben, sondern sie sind hofiert worden. Sie haben das Regime im Prinzip unterstützt. (",1
556,"Also geben Sie zu, dass das der schwächste Punkt ist?",GRÜNE,Jürgen Trittin,CDU/CSU,Karl-Georg Wellmann,2009-12-03,96049,"schen Glaubwürdigkeit bei. Wir haben den Verdacht, dass dies das erste internationale Mandat ist, bei dem Sie sich insgesamt davonmachen. (Dr. h. c. Gernot Erler [SPD]: Unsinn!) Sie suchen sich jetzt sozusagen den schwächsten Punkt, um erstmalig auszusteigen. (Beifall bei Abgeordneten der CDU/CSU – ",0
557,Richtig!,CDU/CSU,Steffen Kampeter,GRÜNE,Winfried Hermann,2006-03-30,74846,"r FDP und der LINKEN – Steffen Kampeter [CDU/CSU]: Wir streichen keine Mittel!) – Doch, Sie streichen die Mittel drastisch. Sie waren übrigens der Erste, der das angekündigt hat. Sie haben uns dankenswerterweise vorgewarnt.  Was wollen Sie? Sie sagen, Sie wollten die Mittel effizienter einsetzen.  (",2
558,"Ach, so geht das!",CDU/CSU,Beatrix Philipp,SPD,Jörg Tauss,2008-06-19,88420,"enstherrn den Hinweis bekommen, dass sie nicht für den Papierkorb arbeiten, sondern dass ihre Arbeit geschätzt wird, und wenn Herr Schäuble oder Herr Bergner mit Leidenschaft dahinterstehen, machen sie ihre Arbeit mit noch mehr Lust und Liebe. Insofern sollten wir das ins Verfahren mit einziehen.  (",0
559,Sie versteigen sich aber zu abenteuerlichen Ausführungen!,SPD,Sebastian Edathy,CDU/CSU,Dr. Hans-Peter Uhl,2005-09-07,72760,"lich wurde. In seiner Vision ging er sogar noch einen Schritt weiter und sagte allen Ernstes, man müsse dies wohl in Weißrussland wiederholen. Er ging allerdings noch nicht soweit, quasi einen dritten Schritt für 145 Millionen Russen anzukündigen. (Jerzy Montag [GRÜNE]: Und dann für die Chinesen! – ",1
560,Von wann ist denn Ihr letztes? Von 1981! 16 Jahre haben die Schwarzen nichts beschlossen!,SPD,Ulrich Kelber,CDU/CSU,Dr. Klaus W. Lippold,2004-09-09,67707,"enes Energiekonzept vorzulegen. Sie müssten daran einen ganz maßgeblichen Anteil haben. Bis heute ist außer dem Ausstieg aus der Kernenergie nichts passiert und Sie haben kein geschlossenes Energiekonzept vorgelegt, was Ihnen von allen Seiten angekreidet wird. (Beifall bei der CDU/CSU und der FDP – ",1
561,Aber nach anderen Lösungen!,FDP,Carl-Ludwig Thiele,SPD,Horst Schmidbauer,2002-11-07,59068,"l bei der SPD – Wolfgang Zöller [CDU/ CSU]: Sie haben noch keinen Satz zu Ihrem Gesetzentwurf gesagt!) Sie haben immer einen großen Bogen der Opportunität um den heißen Brei der Arzneimittel gemacht. Wir schaffen mit unserem Gesetz endlich Fakten, weil die vorhandenen Probleme nach Lösungen rufen. (",1
562,Fragen Sie mal Ihren Finanzminister!,CDU/CSU,Patrick Schnieder,FDP,Dr. Thorsten Lieb,2022-11-24,187841,"szahlen angucke, liebe Kolleginnen und Kollegen, bei denen ich sehe, dass die Länder bis Ende September 24,4 Milliarden Euro Haushaltsüberschuss haben, während der Bund Ende Oktober mit mehr als 100 Milliarden Euro im Minus steht, ist das Argument, die Länder brauchen mehr Geld, zu kurz gegriffen. (",0
563,Das stimmt allerdings!,FDP,Carl-Ludwig Thiele,GRÜNE,Dr. Reinhard Loske,1998-11-20,40841,"h einmal deutlich sagen, daß unter dieser Regierung die Lohnnebenkosten ständig angestiegen sind. Es war die Rede von einem Anstieg von 35 auf 43 Prozent. (Joachim Poß [SPD]: Unter der alten Regierung!) – Unter der alten Regierung, Entschuldigung. Man muß sich zugegebenermaßen erst daran gewöhnen. (",2
564,Steht im Grundgesetz!,SPD,Bernd Westphal,GRÜNE,Lisa Badum,2020-03-06,165309,"as?) sondern sogar gegen Ihre eigenen Klimaziele. Der springende Punkt ist: Damit vermurksen Sie das komplette Kohleausstiegsgesetz; denn was schlecht für das Klima ist, ist auch finanziell und politisch eine Katastrophe. Zum Finanziellen. Herr Westphal, Sie haben die Entschädigungen angesprochen. (",0
565,Sehr richtig!,FDP,<unknown>,CDU/CSU,Erika Steinbach,2010-03-25,98178,"ch hinzufügen.  (Beifall bei der CDU/CSU und der FDP) Ich möchte etwas zu Ihren Ausführungen sagen. Ich war doch schon ein wenig verblüfft:  (Christoph Strässer [SPD]: Das glaube ich!) Bis vor kurzem haben Sie all das, was zu den EU- Außengrenzen geregelt wurde, als Regierungsfraktion mitgetragen.  ",2
566,Nennen Sie mal einen!,CDU/CSU,Friedrich Merz,GRÜNE,Steffi Lemke,2001-01-25,51184,"en  (Georg Girisch [CDU/CSU]: Ja, so ein Krampf!) – Entschuldigung, das ist heute Ihre Debatte! –, um die Fehler der ehemaligen Bundesregierung, allen voran von Horst Seehofer, in den letzten zehn Jahren im Zusammenhang mit BSE aufzuarbeiten. Ich glaube, es ist jetzt nicht die Stunde, dies zu tun. (",1
567,Unmöglich!,CDU/CSU,Dr. Silke Launert,CDU/CSU,Alexander Hoffmann,2022-04-08,182052,"er SPD: Augenscheinlich? Was heißt denn „augenscheinlich“?) die nicht aus der Ukraine kommen. (Filiz Polat [GRÜNE], an die CDU/CSU gewandt: Sie sitzen schon zu Recht da, wo Sie sitzen! Ganz gefährlich, was Sie hier spielen! Jetzt verteidigen Sie ihn auch noch, oder wie oder was? – Gegenruf der Abg. ",1
568,Wenigstens das!,SPD,Rudolf Körper,DIE LINKE,Jörn Wunderlich,2007-11-09,84036,"Verehrte Präsidentin! Liebe Kolleginnen und Kollegen! Wir begrüßen das neue Unterhaltsrecht, jedenfalls vom Ansatz her. (Fritz ",2
569,"Ja, macht doch mal!",DIE LINKE,De Masi,CDU/CSU,Ralph Brinkhaus,2018-03-15,147783,"lung widerspricht jeglichem Gedanken der sozialen Marktwirtschaft und jeglichem Gedanken des Wettbewerbes. Das heißt: Wir müssen auch einmal darüber reden, welche Bedeutung Kartell- und Monopolpolitik in diesem Lande haben. (Beifall bei der CDU/CSU und der FDP sowie bei Abgeordneten der SPD – Fabio ",0
570,Das kostet Milliar,FDP,<unknown>,SPD,Hans Büttner,1992-10-15,8433,"damit sie  nicht über Sozialhilfe, Formelkram, den sie gar nicht  mehr verstehen, wenigstens das erhalten, was ihnen  nach Recht und Gesetz auch zusteht. Was wir hier  vorschlagen, ist nichts anderes als eine vernünftige  Umorganisation der Mindestsicherung über das jetzige Rentensicherungssystem.  ",1
571,Jede Wahl ist ein  Volksentscheid!,CDU/CSU,Volker Kauder,SPD,Florian Pronold,2010-10-06,101281,"t werden.  (Volker Kauder [CDU/CSU]: In welchem  Volksentscheid?) – Ich sage gleich etwas zum Volksentscheid, den die Frau Bundeskanzlerin an diesem Platz hier auch angesprochen hat. (Volker Kauder [CDU/CSU]: Das hat sie ein  bisschen anders gesagt!) – Ja, ich weiß das; ich gehe gleich darauf ein. (",0
572,Stimmt!,SPD,Mechthild Rawert,GRÜNE,Fritz Kuhn,2011-05-26,106333," halten es für falsch, dass Sie aus dem Zusatzbeitrag eine kleine Kopfpauschale gemacht haben. Sie müssen uns auch einmal beantworten, was eigentlich passiert, wenn die Zusatzbeiträge noch weiter steigen werden. Es sagen viele Gutachten, dass der nicht auf dem jetzigen Niveau gehalten werden kann, (",2
573,Richtig!,CDU/CSU,Dr. Anja Weisgerber,CDU/CSU,Thomas Heilmann,2022-03-16,180928,"d Lösungen erst gar nicht gesucht hat. (Dr. Anja Weisgerber [CDU/CSU]: Ja, genau!) Das ist natürlich das Gegenteil von Ergebnisoffenheit. Und, Herr Blankenburg, Sie haben eben letztlich auch gesagt, dass Sie das nicht wollen; Sie haben mit den Leuten, die davon was verstehen, gar nicht gesprochen. (",2
574,Togo!,GRÜNE,Susanne Menge,DIE LINKE,Ina Latendorf,2023-09-27,196097,"Vielen Dank. – Frau Ministerin, könnten Sie das hinsichtlich der Regionen oder der Länder, in denen Sie da aktiv sind, spezifizieren? (",0
575,Das hatten wir doch  schon!,SPD,Barbara Wittig,CDU/CSU,Beatrix Philipp,2005-02-17,70555," eigentlich fällt, wieder einmal nicht gegen die Grünen durchsetzen. Dafür spricht auch das peinliche Zurückziehen des ersten Gesetzentwurfes vom 23. Juni 2004 im August, obwohl sich Herr Schily noch im Juli 2004 heftig für ihn eingesetzt hat. Das nächste Beispiel betrifft die Telefonüberwachung.  (",0
576,Das ist leider Gottes  so!,FDP,Ulrich Irmer,CDU/CSU,Friedrich Vogel,1994-03-03,18000," sind  alle fehlgeschlagen. Ich habe manchmal den Eindruck, daß niemand bei den Bürgerkriegsparteien im  Sudan im Augenblick wirklich ernsthaft gewillt ist,  eine friedliche Lösung der Probleme im Sudan zu  finden. Ich kann diesen Willen weder bei der Regierung noch bei der SPLA/SPLM feststellen.  (",1
577,Herr Hoffmann,GRÜNE,Renate Künast,CDU/CSU,Alexander Hoffmann,2017-03-08,143000,"So ist es ja auch!) Ich kann nichts dafür – deswegen scheue ich mich auch nicht vor dieser Debatte –, dass die SPD an dieser Stelle so saft- und so kraftlos ist. (Widerspruch bei der SPD und dem GRÜNE) Danke. (Beifall bei der CDU/CSU – Mechthild Rawert [SPD]: Das war jetzt aber wahre Manneskraft! – ",0
578,Sie schmeißen mit Dreck! Sie wollen nicht arbeiten und schmeißen mit Dreck!,AfD,Stephan Brandner,GRÜNE,Britta Haßelmann,2020-03-12,165635,"spräsident, Bundesverfassungsgericht oder Parlament – mit Dreck überziehen. (Stephan Brandner [AfD]: Hallo? Es sind drei Sitzungswochen mehr!) Das machen wir nicht mit. Dem stellen wir uns klar entgegen, meine Damen und Herren. (Beifall beim GRÜNE, bei der CDU/CSU, der SPD, der FDP und der LINKEN – ",1
579,Das wird er nie machen!,SPD,Gernot Erler,CDU/CSU,Paul Breuer,1999-11-24,45570,tschland noch nie gegeben. (Beifall bei der CDU/CSU – Kurt J. Rossmanith [CDU/CSU]: Nicht zu fassen! – Joseph Fischer [Frankfurt] [GRÜNE]: Unglaublich!) Wenn der Bundesverteidigungsminister in diesem Zusammenhang von einem Nothaushalt spricht (Joseph Fischer [Frankfurt] [GRÜNE]: Ich bin entsetzt! – ,1
580,Sie haben letztes Jahr  noch nicht einmal abgerufen!,FDP,Ulrike Flach,SPD,Petra Hinz,2006-06-22,76033,"ister Trittin. (Steffen Kampeter [CDU/CSU]: Jetzt kommt  es raus!) Da haben wir jetzt ein P vorgesetzt, (Beifall des Abg. Steffen Kampeter [CDU/ CSU]) indem wir die Deckungsfähigkeit aufgehoben und damit de facto die Mittel erhöht haben. Das ist im Haushalt nachzulesen und das ist zukunftsweisend. (",0
581,"Nein, auf Ost",GRÜNE,Markus Kurth,SPD,Andrea Nahles,2017-02-15,142648,Darf ich nachfragen: Bezieht sich das jetzt auf die Erwerbsminderungsrente? (,0
582,Was ist daran entlarvend?,CDU/CSU,Jens Spahn,SPD,Nancy Faeser,2023-11-30,198797,das schafft ihr ganz alleine! – Philipp Amthor [CDU/CSU]: Sie tragen dazu bei! – Weitere Zurufe von der CDU/CSU – Martin Hess [AfD]: Sie sind doch an Inkompetenz nicht mehr überbietbar! – Weitere Zurufe von der AfD – Gegenruf der Abg. Lamya Kaddor [GRÜNE]: Das ist so entlarvend! – Gegenruf des Abg. ,0
583,Schönzureden!,SPD,Jörg Tauss,GRÜNE,Katrin Göring-Eckardt,2002-06-13,58110,"ich; (Beifall beim GRÜNE) denn den Familien wird Zeit geklaut, wo sie mühsam Kinderbetreuung, Nachhilfeunterricht oder die Fahrt zur Musikschule organisieren.  Da sind wir dann, Frau Schavan, auch schon bei der wirklichen Situation im Ländle, die Sie hier ein bisschen zu bemänteln versucht haben.  (",0
584,"Frischer Fisch ist heute der, der am schnellsten tiefgefroren worden ist!",FDP,Hans-Michael Goldmann,SPD,Dr. Marlies Volkmer,2009-02-13,92135,"t der Streit um des Kaisers Bart; denn wie die Milch behandelt wird, entscheidet über Geschmack und über Inhaltsstoffe. (Hans-Michael Goldmann [FDP]: Ja, klar! Das  muss draufstehen!) Deshalb muss die Verkehrsbezeichnung eindeutig sein. Wer Frischmilch kaufen will, soll auch Frischmilch bekommen.  (",0
585,"Das versteht aber keiner mehr, was Sie da tun!",AfD,Fabian Jacobi,SPD,Leni Breymaier,2019-05-17,158853,"en in der Fußgängerzone, wohl eine ganze Reihe Menschen gibt, die mit den Begriffen gar nichts anfangen können. Und doch ist die Debatte so wichtig für unsere Gesellschaft, aber vor allem auch für die Menschen, die persönlich betroffen sind. Ich glaube, wir müssen schon erklären, was wir hier tun. (",1
586,Es gilt das Bundes,DIE LINKE,Gösta Beutin,CDU/CSU,Jens Koeppen,2020-06-18,167768,"ine Höchstabstandsregelung zu werden. Es bleibt zu hoffen, dass die Länder die Regelung jetzt so treffen, wie es in ihren Koalitionsverträgen steht – wie zum Beispiel in Brandenburg –, sodass verhindert wird, dass 250 Meter hohe Anlagen in der unmittelbaren Nähe von Wohnungen gebaut werden. (Lorenz ",0
587,Die Fehler liegen im Politischen! Das stimmt!,GRÜNE,von Notz,CDU/CSU,Peter Altmaier,2016-07-08,139585,"der Medizintechnik und aus vielen anderen Bereichen –, dann wird klar: Das sind keine Schlapphüte, wie man sich das früher vorgestellt hat, die nur darauf aus sind, irgendwo rechtsfreie Räume zu entdecken. Diese jungen Menschen sind motiviert, der Sicherheit dieses Landes zu dienen, (Dr. Konstantin ",0
588,Sehr wahr!,CDU/CSU,Ernst Hinsken,CDU/CSU,Veronika Bellmann,2003-06-26,62153,"für die schwierige Lage in Deutschland, insbesondere im Osten, ist aber – das war auch schon vom Kollegen Merz zu hören – die Bundesregierung. (Klaus Brandner [SPD]: Die streikt jetzt auch  gleich!) Seit dem Regierungsantritt von Rot-Grün ist der Aufholprozess Ost nachweislich ins Stocken geraten. (",2
589,Sehr  wahr!,SPD,S truck,SPD,Rudolf Dreßler,1994-04-28,19050,"den!)  Das heißt doch, wenn es im Laufe der letzten  40 Jahre kontinuierliche Fehlentwicklungen oder  sich verschärfende Fehlentwicklungen gegeben haben sollte, dann sind diese Entwicklungen in erster  Linie und vor allem mit dem Kürzel FDP verknüpft.  (Beifall bei der SPD und dem GRÜNE — Dr. Peter ",2
590,Mehr als bei  Ihnen!,CDU/CSU,Hans Michelbach,SPD,Wolfgang Clement,2005-01-20,70023,"stärken“. Ich muss Ihnen sagen: Hätten Sie das mal früher getan. (Beifall bei der SPD) Vorhin in der Debatte hat Herr Kollege Riesenhuber gesprochen. Sie hätten sich doch erinnern können, was in seiner Zeit und auch noch in der seines Nachfolgers in Sachen Forschung und Wissenschaft geschehen ist. (",1
591,Genau so ist es!,SPD,Michael Schrodi,SPD,Nadine Heselhaus,2023-12-14,199285," Sinn, nämlich von unten nach oben, von Arm zu Reich. (Zuruf von der AfD: Das machen Sie doch!) Sie von der AfD wollen Spitzenverdiener und Hochvermögende steuerlich entlasten und Menschen mit mittleren und geringeren Einkommen damit deutlich stärker belasten. (Jörn König [AfD]: Das stimmt nicht! – ",2
592,Dann braucht man das hier auch nicht erwähnen!,CDU/CSU,Fritz Güntzler,DIE LINKE,De Masi,2018-11-07,152917,"swerte Frau, aber bei Gaunereien platzt ihr immer der Kragen. Herr Merz, Bewerber um den CDU-Vorsitz, ist seit 2016 Aufsichtsratschef von BlackRock Deutschland. Bei BlackRock wurde jetzt wegen Cum/Ex-Deals – vor seiner Zeit – eine Razzia durchgeführt. Es wird auch nicht gegen Herrn Merz ermittelt. (",0
