,comment_text,comment_party,comment_name,interrupted_speaker_party,interrupted_speaker,date,speech_id,preceding_context
245238,Warum machen Sie es nicht bei den Abgaben?,GRÜNE,Lisa Paus,CDU/CSU,Hans Michelbach,2011-11-11,109847,"teuerwillkür zulässt. Vielmehr haben die Bürger Anspruch auf einen Ausgleich, und ein Tarif auf Rädern ist die richtige Entwicklung. Es hat mit Steuergerechtigkeit nichts zu tun, wenn ein Arbeitnehmer 1 Prozent mehr Gehalt bekommt und dann 2 Prozent mehr Steuern zahlen muss. Das ist nicht gerecht. ("
351536,"Ich glaube, das hatten wir schon!",AfD,Martin Hebner,FDP,Gyde Jensen,2019-05-17,158849,"bot der sogenannten Homo-Heilung beschlossen, das auf einen Antrag unter anderem aus Schleswig-Holstein zurückgeht. Denn so unfassbar es auch klingt: In über 70 Ländern ist Homosexualität immer noch strafbar. Im Sudan, in Saudi-Arabien, im Jemen und im Iran droht Homosexuellen gar die Todesstrafe. ("
101825,Sehr richtig! Sehr wahr!,CDU/CSU,Steffen Kampeter,CDU/CSU,Christian Schmidt,2001-11-28,55344,"ßenminister, bei dem von uns allen begrüßten Israel-Engagement auf dem auf, was in den 90er-Jahren von der damaligen Bundesregierung, insbesondere durch Bundeskanzler Kohl, entwickelt worden ist. Es ist schade und schlimm, dass Yitzhak Rabin nicht mehr da ist. Er hätte darauf angemessen reagiert,  ("
156325,Sie werden gekürzt! Das ist das Skandalöse!,CDU/CSU,Thomas Rachel,SPD,Andrea Wicklein,2005-05-13,72076,"leunigen. Aus meiner Sicht ist das alles schizophren. (Beifall bei Abgeordneten der SPD) Auch ist es grandios, dass Sie sich im selben Antrag darüber besorgt zeigen, dass die Bundesmittel für den Hochschulbau gekürzt werden könnten. Wir haben heute wieder Ihre diesbezüglichen Befürchtungen gehört. ("
257722,Aha!,DIE LINKE,<unknown>,CDU/CSU,Dr. Angela Merkel,2012-06-29,115109," Wochen, sondern das  ist ein längerer Prozess. Ein Vorschlag dazu soll bis  Ende des Jahres vorliegen. Wenn diese Aufsicht geschaffen ist, dann haben wir  eine europäische Institution im Euro-Raum, die in der  Lage ist, Kontrolle auszuüben, und gleichzeitig auch befugt sein muss, Auflagen zu erteil"
12856,Sehr richtig!,CDU/CSU,<unknown>,CDU/CSU,Dr. Wolfgang Bötsch,1992-09-09,7535,"/CSU)  Nur, meine Damen und Herren, wir tragen die Verantwortung für die Herausforderungen in dieser Zeit  des Umbruchs nicht allein. Denn auch Sie, meine  Damen und Herren von der SPD, tragen mit Ihrer  Mehrheit im Bundesrat und als stärkste Oppositionspartei im Deutschen Bundestag Verantwortung.  "
231741,Was ist das für eine Logik?,DIE LINKE,Dr. Rosemarie Hein,GRÜNE,Kai Gehring,2011-02-11,104322,"derstand gegen Studiengebühren geschwächt, weil die Akzeptanz der Studiengebühren damit gestärkt würde. (Dr. Rosemarie Hein [DIE LINKE]: Die Logik  ist sehr seltsam!) Das ist völlig absurd. Damit leisten Sie den Zielen der Bildungsstreikbewegung nachträglich einen Bärendienst. (Beifall beim GRÜNE – "
212144,Stimmt doch alles  nicht!,SPD,Dr. Karl Lauterbach,FDP,Heinz Lanfermann,2010-03-04,97391,"ch. Soweit wir wissen, soll bei Ihrer Bürgerversicherung die Bemessungsgrundlage verbreitert werden,  nicht nur bezüglich der Personen, sondern auch bezüglich der Einkommen. Die Zinsen aus Bausparverträgen,  das, was die Oma für die Enkel anlegt, die Mieteinnahmen und anderes werden dazugerechnet. ("
367261,Jawoll!,DIE LINKE,Thomas Lutze,AfD,Steffen Kotré,2020-03-06,165299,"Sehr geehrte Frau Präsidentin! Sehr geehrte Damen und Herren! Die staatliche Plankommission zur Lenkung der Wirtschaft, genannt Kommission für „Wachstum, Strukturwandel und Beschäftigung“, hat getagt und uns ihren Fünfjahresplan vorgelegt. Die Genossen vom Zentralkomitee, genannt Bundesregierung, ("
92514,Wir müssen die Arbeit der Opposition auch noch machen!,SPD,Iris Gleicke,SPD,von Renesse,2001-03-29,52400,"s das zum Beispiel für die Zweitwohnung oder für die Drittwohnung so nicht gelten müsste? Das wäre doch ein FDP-Argument gewesen; aber das ist nicht gekommen. Ich bringe es, nachdem ich mir überlegt habe, was Sie heute vielleicht einwenden könnten. (Heiterkeit und Beifall bei Abgeordneten der SPD – "
388788,Sehr richtig!,SPD,Dr. Lars Castellucci,DIE LINKE,Ulla Jelpke,2021-06-10,178149,"t gepflegten reaktionären Auslegung des Islam halte ich eine solche Forderung schlicht für grundgesetzwidrig. Dem Staat ist es nicht gestattet, Religionsinhalte zu kontrollieren. Glaubensinhalte sind selbst dann von der Religionsfreiheit geschützt, wenn sie als verfassungsfeindlich anzusehen sind. ("
411008,"Sie meinen das Wohngeld, nicht das Bürgergeld?",SPD,Saskia Esken,FDP,Daniel Föst,2022-11-10,187297," er nicht übernommen? Also, auch die Kommunen und die Länder haben bitte die Verantwortung, ihre Verwaltung zu optimieren und vor allen Dingen zu digitalisieren, damit es schneller geht und zielgerichteter ankommt. (Beifall bei der FDP sowie bei Abgeordneten des GRÜNE) Das ist ein wichtiger Punkt. ("
343222,Wen?,CDU/CSU,David Wadephul,AfD,Armin-Paulus Hampel,2019-01-30,155032,"einen Präsidenten fallen und erkennt einen anderen an, übrigens ohne dass man sich vorher mit den Vereinigten Staaten abgesprochen hat. (Dr. Johann David Wadephul [CDU/CSU]: Wen haben wir denn anerkannt?) – Natürlich haben wir ihn anerkannt, indem wir uns auf seine Seite gestellt haben. (Dr. Johann "
11493,Hier gibt es auch  rechtsstaatliche Bedenken! Das wissen  Sie!,CDU/CSU,Norbert Geis,SPD,Johannes Singer,1992-06-04,6772,"enberater sagt eines Tages vor Ge richt gegen ihn aus? Das  ist eine Forderung, die von allen in der Therapie und  in der Beratung, in der Prävention Tätigen seit Jahren  erhoben wird. Sie haben sich unheimlich schwergetan, hier zuzustimmen. Vollen Herzens tun Sie es auch  jetzt nicht, Herr Geis.  ("
395517,Das ist wirklich ekelhaft!,GRÜNE,Ulle Schauws,AfD,Dr. Gottfried Curio,2022-04-07,181841,"etzt mit ankommen, müssen, wie es die Massenzustromrichtlinie vorsieht, in ihr Heimatland zurück. Das alte Hunderttausender-Heer – die es sich nach wie vor auf Steuerzahlerkosten in Deutschland wohlergehen lassen –, die 300 000 vollziehbar ausreisepflichtigen Ausländer sind endlich zurückzuführen! ("
188375,Aber auch finanzierbar!,SPD,Jörg Tauss,FDP,Hans-Joachim Otto,2008-03-07,86414,"-Kabel, DSL, Satellit oder Funk, es bedarf jeweils einer anderen technologischen Lösung, um zum Beispiel die Ostfriesischen Inseln – den Ort, den Sie genannt haben, habe ich leider vergessen – (Dr. Martina Krogmann [CDU/CSU]:  Oederquart!) oder bayerische Alpendörfer ans Breitbandnetz zu bringen.  ("
348321,In drei Schritten!,GRÜNE,Kai Gehring,CDU/CSU,Anja Karliczek,2019-04-05,157420,"ritt. Dabei konzentrieren wir uns darauf, die wesentlichen Aspekte aufzugreifen: Erstens. Wir erhöhen den Förderhöchstsatz von heute 735 Euro auf 861 Euro im Jahr 2020. Das ist ein Plus von 17 Prozent. Zweitens. Wir erhöhen die Einkommensfreibeträge bis 2021, und zwar ebenfalls um fast 17 Prozent. ("
94212,Haben gelogen!,FDP,Dr. Dieter Thomae,SPD,Regina Schmidt-Zadel,2001-05-17,52966," der Bundestagswahl 1998 mit der Abwahl der alten Regierung quittiert. (Beifall bei der SPD) Meine sehr verehrten Damen und Herren, wir alle wissen, dass die Bundesrepublik in vielen Ländern um ihr solidarisches Krankenversicherungssystem beneidet wird. Wir Sozialdemokratinnen und Sozialdemokraten ("
47946,So wird man doch  bekannt!,FDP,Lisa Peters,SPD,Wilhelm Schmidt,1996-10-10,31428,"eehrten Damen und Herren! Liebe  Kolleginnen und Kollegen! Der Antrag verdient natürlich eine ordentliche Behandlung, wenngleich man sich wundert, wie intensiv er in den letzten Wochen und Monaten durch die Medien gegeistert ist  und wie sehr er dort eine überproportionale Beachtung gefunden hat.  ("
365565,Oh!,DIE LINKE,Alexander Ulrich,CDU/CSU,Max Straubinger,2020-01-31,164563,"den Herausforderungen, die die Digitalisierung mit sich bringt. Die Chancen, die damit verbunden sind, werden leider ausgeblendet. Ich glaube nicht, dass wir die entsprechende Transformation bzw. den Umbau des Arbeitsmarktes dadurch erreichen können, dass wir die Menschen von der Arbeit entwöhnen. ("
20060,Das war der  Punkt!,CDU/CSU,Karl Lamers,CDU/CSU,Dr. Wolfgang Schäuble,1993-04-21,12030,"geteiltes Deutschland an Blauhelm-Einsätzen  nicht zu beteiligen, zu einer Entscheidung, die — da  stimmen wir ja auch überein — im vereinten Deutschland politisch so nicht mehr richtig ist,  (Zuruf von der DIE LINKE: Nein!)  eine unzutreffende verfassungrechtliche Begründung  gegeben worden ist,  ("
268918,Was haben Sie denn da gerade mit der  „totalen Mobilmachung“?,GRÜNE,Renate Künast,CDU/CSU,Dorothee Bär,2013-03-01,119761,"n – ich finde, das ist ein ganz besonders furchtbares Wort – von Frauen stagniert, weil viele  nur in Teilzeit arbeiten. Da frage ich mich: Ist es wirklich Ihr Ziel, wie in der Wirtschaftswoche vom 9. Februar zu lesen war – ich zitiere –, dass „die totale Mobilmachung aller Arbeitskräfte“ erfolgt? ("
296851,Das habe ich nicht gesagt! Ich habe eine Frage gestellt!,GRÜNE,von Notz,CDU/CSU,Stephan Mayer,2015-07-03,133330,"so einfach machen wie Sie, Herr Kollege von Notz, indem Sie sagen: Na ja, es gibt hier eine deutliche Zunahme gewaltorientierter Bestrebungen im Bereich des Rechtsextremismus, auch mehr Gewalttaten, und dies zeigt ganz klar, dass der Einsatz von V-Leuten obsolet und untauglich ist.  (Dr. Konstantin "
76271,16 : 0 ist Frau Fischer untergegangen!,FDP,Walter Hirche,GRÜNE,Kerstin Müller,1999-12-16,46092,"nmal!) Kerstin Müller (Köln) Jetzt komme ich zur Gesundheitspolitik. Nicht hinnehmbar ist, wie Sie sich, meine Damen und Herren von CDU/CSU und FDP, der Verantwortung für die dringend notwendigen Veränderungen in der gesetzlichen Krankenversicherung verweigern. (Beifall beim GRÜNE und bei der SPD – "
207563,Unverschämt!,DIE LINKE,Dr. Dagmar Enkelmann,SPD,Ulrich Kelber,2009-12-03,95956," Mittel für den Klimaschutz, damit Herr Niebel in der Statistik besser dasteht, ohne für die Menschen und die Sache wirklich etwas erreicht zu haben. (Michael Kauch [FDP]: Stimmt doch gar  nicht!) Dafür werden Sie unsere Stimme nicht bekommen. (Beifall bei der SPD sowie bei Abgeordneten des GRÜNE – "
34555,Das war genauso schlimm!,FDP,Dr. Gisela Babel,CDU/CSU,Volker Kauder,1995-01-26,21934,"! So zynisch und menschenverachtend ist  Ihr Satz.  (Beifall bei der CDU/CSU und der FDP)  Herr Dreßler, ich sage Ihnen noch eines.  (Joseph Fischer [Frankfurt] [GRÜNE]: Mein lieber Kauder, ihr habt doch immer zu unsereins gesagt: Geht doch  nach drüben! Jahrzehntelang habe ich mir  das angehört! — "
39105,Weil im,CDU/CSU,Siegfried Hornung,CDU/CSU,Hansjörgen Doss,1995-09-21,25057,"organg ist abgeschlossen.  Dauerthema der Mittelstandspolitik ist die Senkung der Lohnzusatzkosten. Deutsche Arbeitnehmer  verdienen nicht zuviel; sie kosten nur zuviel. Es ist  die Differenz zwischen Nettolohn und Stundenverrechnungssatz, die legale Arbeit in Deutschland fast  unbezahlbar macht.  ("
206961,Das ist nur vergiftet! Ein „tolles“ Klima in der Koalition!,SPD,Bernd Scheelen,FDP,Otto Fricke,2009-11-12,95639,Sie haben bei Ihrer Amtseinführung – ich habe Ihren Worten sehr wohl gelauscht – sehr klar und präzise gesagt: Ich bringe den Mitarbeitern des Finanzministeriums Vertrauen entgegen bis zum Beweis des Gegenteils. – Für die FDP-Fraktion gilt im Verhältnis zu unserem Finanzminister genau das Gleiche. (
439291,Sie wollten das doch immer auflösen!,GRÜNE,Maik Außendorf,CDU/CSU,Dr. Reinhard Brandl,2023-09-28,196264,Weniger Geld für Digitalisierung ist die Realität. Drittens – das ist jetzt der eigentliche Hammer –: Die Bundesregierung löst das Sondervermögen „Digitale Infrastruktur“ auf. (Stefan Müller [Erlangen] [CDU/CSU]: Was?) Das hört sich jetzt ein bisschen technisch an. Aber was verbirgt sich dahinter? (
6080,Und die Men schen müssen bräver werden!,CDU/CSU,Norbert Geis,SPD,Dr. Jürgen Meyer,1991-11-14,3851,"ig. Diese ist nach unserer Überzeugung nur möglich, wenn künftig nicht mehr dieselbe  Masse, sondern weniger Strafprozesse, aber unter  voller Wahrung rechtsstaatlicher Garantien durchgeführt werden. Dazu bedarf es zukunftsweisender  Reformen des materiellen Strafrechts und des Strafprozeßrechts.  ("
324197,Sie sollten nicht so viel Ihren Schmutz da lesen!,GRÜNE,Steffi Lemke,AfD,Stephan Protschka,2017-12-12,146050," gerade bei der sonst so umweltbewegten Grünenfraktion keine große Rolle. (Zuruf vom GRÜNE: Was? – Harald Ebner [GRÜNE]: Hätten Sie mal die Debatten im Hohen Haus verfolgt!) Bloß nicht den brüchigen Frieden mit der profitmaximierenden FDP brechen! Dafür opfert man ja nicht nur die Kohlekraftwerke, ("
261601,Das ist eine Selbstverständlichkeit!,GRÜNE,Beate Müller-Gemmeke,CDU/CSU,Frank Heinrich,2012-10-26,116683,", dass da ein Problemfeld besteht, und dies hat  eine hohe Priorität bekommen. Neu ist, dass sich die  Bundesagentur in der Zielvereinbarung für dieses Jahr  auf die Steigerung der Integrationsquote dieser Personengruppe verpflichtet hat. Ja, es ist nachdenkenswert,  dass das fortgeschrieben wird. ("
346889,Doch!,GRÜNE,Annalena Baerbock,CDU/CSU,Dr. Angela Merkel,2019-03-21,156795,"ben Sie denn gemacht in den 14 Jahren?) sondern wir müssen proaktiv und ausbrechend aus dem klassischen Beihilferahmen, der uns das nicht ermöglicht, Projekte – – (Annalena Baerbock [GRÜNE]: Natürlich ermöglicht er das!) – Nein, Frau Baerbock, der klassische Beihilferahmen ermöglicht es uns nicht. ("
289218,Ihre Schwesterpartei!,DIE LINKE,Dr. Diether Dehm,SPD,Carsten Schneider,2014-12-18,129585,"n in Griechenland, die dazu führten, dass Leopard-Panzer angeschafft wurden, dass über Jahrzehnte auf Pump gelebt wurde, dass es keine ordentliche Steuerverwaltung gab und ein Unmaß an Korruption herrschte.  (Dr. Dietmar Bartsch [DIE LINKE]: Da haben Christdemokraten und Sozialdemokraten regiert! – "
217100,Das ist doch  ein alter Hut!,SPD,René Röspel,CDU/CSU,Dr. Annette Schavan,2010-05-07,98831,"den Wettbewerb darum, wer wie viele Stipendien vergibt, wir wollen eine Stipendienkultur entwickeln, und wir wenden uns keineswegs nur an die großen Unternehmen, sondern wir wenden uns auch an unsere Ehemaligen. Wir haben damit die wunderbare Möglichkeit, endlich eine Ehemaligenkultur aufzubauen.  ("
195095,Sie sind doch Gewerkschaftssekretär!,FDP,Dirk Niebel,DIE LINKE,Werner Dreibus,2008-10-16,89726,"as!) Eine Friseurin in Brandenburg, um ein zugegebenermaßen extremes, aber leider nicht gering verbreitetes Beispiel zu nennen, bekommt 2,75 Euro die Stunde per Tarifvertrag. Das wollen Sie mit diesen Gesetzen zum Mindestlohn erklären. Das ist zynisch und menschenunwürdig. (Beifall bei der LINKEN – "
264740,Aber wir sind lernfähig!  Das ist doch jetzt eine ganz andere Wohnungssituation! Es war damals falsch!,SPD,Sören Bartol,CDU/CSU,Gero Storjohann,2012-11-30,117895,"e und daher verhindert werden müsse. (Beifall bei der LINKEN) Diese Auffassung teilen wir (Beifall bei der LINKEN) von der CDU/CSU nicht. Ich erinnere an den Verkauf von 114 000 bundeseigenen Eisenbahnerwohnungen im Jahre 2000, der damals  von der rot-grünen Bundesregierung vorgenommen worden ist. ("
164597,Lesen Sie mal vernünftig nach!,SPD,Jörg Tauss,DIE LINKE,Lutz Heilmann,2006-04-06,75102,"lleginnen und Kollegen von der CDU/CSU: Übernehmen Sie die politische Verantwortung, wenn es in der Bundesrepublik Deutschland zu einem GAU kommt? Herr Mißfelder, Ihre Einlassung von eben schreibe ich ganz einfach Ihrem jugendlichen Alter zu. Mit 22 Jahren unterlag auch ich noch solchen Irrtümern. ("
405284,"Ja, hätten Sie mal zugehört, Frau Staffler!",GRÜNE,Kai Gehring,CDU/CSU,Katrin Staffler,2022-09-22,185601," bedeutet: Wir sprechen heute über ein Instrument, welches in den kommenden Monaten, wo es ganz hart wird für unsere Studenten, überhaupt keine Rolle spielen wird. Schlimm genug! (Beifall bei der CDU/CSU – Ria Schröder [FDP]: Wenn Sie zugehört hätten, hätten Sie mitbekommen, was wir alles machen! – "
159439,"Es wäre auch nicht gut, wenn Sie da mitmachen würden!",CDU/CSU,Bartholomäus Kalb,DIE LINKE,Dr. Lukrezia Jochimsen,2005-12-01,72922,"tensiv und sehr widersprüchlich für ein Vertriebenenzentrum in Berlin geworben, als Geste der Versöhnung. Das ist eine seltsame Geste. Wer soll sich da eigentlich mit wem versöhnen? Bei so etwas machen wir jedenfalls nicht mit.  (Beifall bei der LINKEN – Zuruf von der FDP: Wo machen Sie denn mit? – "
352861,Die können auch mal lernen!,DIE LINKE,Matthias W. Birkwald,AfD,Kay Gottschalk,2019-06-27,159555,"ie die Steuerausfälle ausgleichen? – Keine Antwort!) Kommen wir zum sogenannten Gesetzentwurf der GroKo. Sie wollen die Grundsteuer C wieder einführen. Meine Damen und Herren, das ist ebenfalls ein Relikt, etwas, was schon einmal gescheitert ist. Das entspricht schon fast linkem Gedankenpotenzial. ("
383389,"Nein, das steht da nicht!",FDP,Otto Fricke,CDU/CSU,Eckhardt Rehberg,2021-02-25,174326,"reter im Wirtschafts- und Finanzausschuss das Petitum geben, dass er ablehnen muss? (Stefan Keuter [AfD]: Das ist ja unser Geld!) Wollen wir das im Haushaltsausschuss wirklich? Und Ihr Gesetzentwurf geht ja noch weiter. Sie wollen alle halbe Jahre alle 26 Pläne im Haushaltsausschuss durcharbeiten. ("
139693,"Ich weiß nicht,  ob die das verstehen!",FDP,Dr. Wolfgang Gerhardt,FDP,Rainer Brüderle,2004-05-27,66809,"elstand keine faire Chance hat, sich positiv zu entwickeln. Die Bedingungen stimmen nicht. Selbst diese schlechten Bedingungen sind nicht berechenbar. Aber Wirtschaften beruht auf Kalkulation. Am Schluss müssen Sie rechnen: Zwei und zwei sind vier. Wer nicht rechnen kann, kann auch nicht steuern.  ("
55145,So ist das! Sehr  richtig!,SPD,Dr. Peter Struck,GRÜNE,Annelie Buntenbach,1997-09-25,36236,"chäftigung. Die Sozialversicherung darf  nicht weiter durch unverantwortliche Deregulierungspolitik ausbluten.  (Ulrich Heinrich [FDP]: Das ist ja unglaub lich!)  Über Sonntagsreden kommen auch Sie, Herr Mekkelburg, nicht hinaus, wenn es um die Sozialversicherungspflicht für die 610-DM-Jobs geht.  ("
428026,Wir haben die meisten Akademiker in unseren Reihen!,AfD,Enrico Komning,DIE LINKE,Nicole Gohlke,2023-05-11,192741,"ngen Menschen außen vor lässt, die man für eine berufliche Ausbildung gewinnen muss. Beide Fehler macht konsequent die AfD. (Beifall bei der LINKEN, der SPD, dem GRÜNE und der FDP) Ich muss auch sagen: Den Einsatz der AfD für die berufliche Bildung, den nehme ich Ihnen wirklich überhaupt nicht ab. ("
152276,Er  kommt sofort wieder!,CDU/CSU,Konrad Fromme,GRÜNE,Philip Winkler,2005-02-24,70789,"rklich selten vor. Dadurch, dass wir im Zuge der Ausschussberatungen den beiden Empfehlungen des Bundesrates gefolgt sind, können wir uns hoffentlich auch der Zustimmung der Länderkammer sicher sein. Ich freue mich auch, dass die Union, vertreten durch Herrn Marschewski – wo ist er denn? –  (Jochen–"
247792,Und bei den 64,DIE LINKE,Klaus Ernst,FDP,Johannes Vogel,2011-12-15,110793,uf dem deutschen Arbeitsmarkt war doch grandios: Es gibt mehr Perspektiven für Ältere. Den Weg müssen wir fortsetzen. Wie gesagt: Es gibt mehr Perspektiven. Bei den 60- bis 65-Jährigen hat sich in den letzten fünf Jahren die Zahl der sozialversicherungspflichtig Beschäftigten um 40 Prozent erhöht. (
101845,Das glaubt kein Mensch außer Kröning!,CDU/CSU,Paul Breuer,SPD,Volker Kröning,2001-11-28,55348,"en Personalbudget wird das Attraktivitätsprogramm verwirklicht, das zentraler Bestandteil der Bundeswehrreform und Ausfluss des Neuausrichtungsgesetzes und des Besoldungsänderungsgesetzes ist, die vom Haus bereits beschlossen worden sind. Das Programm eröffnet allein im militärischen Bereich 2002  ("
316043,Toller Name!,SPD,Michaela Engelmeier,DIE LINKE,Dr. André Hahn,2017-01-19,142207,"uch wenn der Deutsche Behindertensportverband, wie von den Linken gefordert, (Michaela Engelmeier [SPD]: Von uns auch!) 2017 mehr Geld vom Bund bekommen wird, ist es dennoch ein sehr langer Weg bis hin zu einer wirklichen Gleichbehandlung. Der Paralympicssieger im Triathlon von Rio, Martin Schulz, ("
95240,Von vorne bis hinten!,FDP,Ina Lenke,SPD,Nicolette Kressl,2001-06-01,53433,"Offensichtlich haben Sie noch nicht richtig reingeschaut, Frau Lenke. ("
302749,Das gehört zur Landespolizei!,CDU/CSU,Max Straubinger,GRÜNE,Katrin Göring-Eckardt,2016-01-13,136027,"rren. Es kommt darauf an, dass wir klarmachen: Unser Staat ist handlungsfähig, und wir lassen das nicht zu. Deswegen bitte ich Sie sehr herzlich: Sorgen Sie dafür, dass es mehr Einsatzkräfte bei der Polizei gibt. (Volker Kauder [CDU/CSU]: Das müsst ihr machen! Ihr seid dort doch an der Regierung! – "
65856,Warum denn nicht?,SPD,<unknown>,CDU/CSU,Maria Eichhorn,1999-02-25,41877,", dann handeln Sie verfassungswidrig. Auch die Kappung des Ehegattensplittings, die Sie vorsehen, ist verfassungsrechtlich höchst bedenklich. In den Haushaltsdebatten der letzten Jahre – dafür haben wir Verständnis, weil wir selbst gerne das Erziehungsgeld erhöht hätten; wir konnten es aber nicht – "
277531,Darüber kann man reden!,DIE LINKE,Wolfgang Gehrcke,CDU/CSU,Thomas Strobl,2014-01-29,123995,"“, die vermutlich eher eine Polizeieinheit als eine klassische Armee sein wird.  (Beifall bei Abgeordneten der CDU/CSU)  Das würde uns den gleichen Sicherheitsgewinn bringen und würde Milliarden an Einsparungen bringen. Es würde Geld frei, das wir in Europa für andere Dinge gut verwenden könnten.  ("
279662,Aber gerecht!,DIE LINKE,Heike Hänsel,CDU/CSU,Johannes Selle,2014-03-21,125139,tliche Entwicklungspolitik allein nicht zu den gewünschten Zielen führen wird. Wichtig ist der Ausbau der euro-afrikanischen Wirtschafts- und Handelsbeziehungen. Ohne eine Entwicklung der afrikanischen Wirtschaft gibt es keinen Fortschritt.  (Beifall bei der CDU/CSU sowie bei Abgeordneten der SPD – 
26103,So ist es!,CDU/CSU,<unknown>,CDU/CSU,Dr. Wolfgang Schäuble,1993-11-24,15960,"erbe  keine Arbeitskräfte finden,  (Zustimmung bei der CDU/CSU)  in Baden-Württemberg nicht und in Mecklenburg- Vorpommern nicht. Bei einer Arbeitslosenzahl von  vier Millionen ist das nicht erklärbar. Und wenn wir  weder in der Landwirtschaft noch im gastronomischen  Gewerbe Arbeitskräfte finden,  "
433704,Maut,SPD,Dr. Jens Zimmermann,CDU/CSU,Patrick Schnieder,2023-07-05,194613,"er Vergangenheit dafür gesorgt, dass wir in Ausschüssen natürlich Landesverwaltungshandeln begutachtet haben. Sie haben dafür gesorgt, dass wir auf Bundes- und Landesebene – zum Beispiel im Breitscheidplatz-Untersuchungsausschuss, im NSU-Untersuchungsausschuss – diese Doppelbefassung gehabt haben. ("
3220,So ist es! Die  Handwerker haben gar nichts davon!,SPD,Dr. Hans-Jochen Vogel,SPD,Ingrid Matthäus-Maier,1991-09-03,2173,ital.  (Dr. Hans-Jochen Vogel [SPD]: Großvermö-gen!)  Auch der Mittelstand hat nichts davon.  (Dr. Kurt Faltlhauser [CDU/CSU]: Sie haben  von den Grundlagen keine Ahnung!)  Wegen der hohen Freibeträge sind nämlich die meisten kleinen und mittleren Unternehmen von der Gewerbekapitalsteuer befreit.  (
259754,"Was überragend  wichtig ist, gehört ins Grundgesetz!",SPD,Dr. Dieter Wiefelspütz,GRÜNE,Jerzy Montag,2012-09-28,115887,"der für eine Grundgesetzänderung sowieso schon  kurzen Begründung fast ausschließlich mit der Darstellung der Bedeutung von Kultur und Sport – unbenommen. Aber der Frage, warum Sie das dann ins Grundgesetz schreiben wollen, widmen Sie bei der Kultur und  beim Sport jeweils nur einen einzigen Satz. ("
321482,Das glaube ich nicht!,CDU/CSU,Clemens Binninger,GRÜNE,Brigitte Pothmer,2017-06-01,144687,"s so wäre, dann wüssten Sie ein bisschen genauer darüber Bescheid, was auf dem deutschen Arbeitsmarkt eigentlich los ist. (Max Straubinger [CDU/CSU]: Wir wissen besser Bescheid!) Der Fachkräftemangel droht zur stärksten Wachstumsbremse in Deutschland zu werden. (Beifall bei Abgeordneten des GRÜNE – "
29705,Was?,FDP,Georg Gallus,SPD,Elke Ferner,1994-04-14,18625,"m überhaupt in einer Geschäftsordnungsdebatte  noch einmal debattiert zu werden.  Wir wissen alle, daß es eine parlamentarische Mehrheit für diesen Antrag gibt. Die FDP ist im wesentlichen diejenige Partei in unserem Parlament, die die  Beratung und auch die Abstimmung dieses Antrages  blockiert.  ("
427170,Jetzt geht das wieder los!,AfD,Tino Chrupalla,DIE LINKE,Clara Bünger,2023-04-28,192442,"ag geschaut. Darin haben Sie gesagt: Die meisten haben offensichtlich keinen Anspruch auf Schutz in Deutschland. – Da wollte ich Sie noch mal fragen: Wie geht das überein mit der Realität – heute wird ganz wenig über Realität gesprochen –, dass die bereinigte Schutzquote bei über 70 Prozent liegt? ("
21282,Das hätten  die auch nicht verdient!,SPD,<unknown>,CDU/CSU,Wolfgang Schulhoff,1993-05-27,13049,"  (Zuruf von der SPD: Ja!)  einer Politik am Markt vorbei. Dies haben die Herren  Vorstände zu verantworten. Im übrigen, meine sehr  verehrten Damen und Herren: Die Anzahl unserer  Staatssekretäre und Minister ist auch nicht so groß, um  die Produktion der 5-Klasse völlig aufzunehmen.  (Heiterkeit —"
225632,"Das, was Sie da erzählen,  ist nicht das, was im Gesetz steht!",FDP,Ulrike Flach,SPD,Elke Ferner,2010-11-12,102186,"für einen Vorteil für den Patienten? Der Einzige, der einen Vorteil hat, ist der Arzt, weil er mehr bekommt, als er von der Kasse bekommen würde. (Beifall bei der SPD) Ich will Ihnen einmal deutlich machen, wie das in Facharztkreisen – etwa in Internetforen des Facharztverbandes – diskutiert wird. ("
422152,Wer denn?,SPD,<unknown>,CDU/CSU,Friedrich Merz,2023-03-16,190883,"r Vereinigten Staaten von Amerika einzureihen, ist, um es zurückhaltend zu sagen, eine leichte Übertreibung. (Hermann Gröhe [CDU/CSU]: Peinlich, einfach peinlich!) Denn bemessen an ihrer Wirtschaftskraft haben eine ganze Reihe von Ländern, auch und gerade in Europa, deutlich mehr geleistet als wir. "
248615,Sie müssen die Antenne erden!,CDU/CSU,Thomas Jarzombek,FDP,Jimmy Schulz,2012-01-20,111238,r geehrten Kolleginnen und Kollegen! Natürlich begrüße ich auch die Zuschauerinnen und Zuschauer und Zuhörerinnen und Zuhörer auf den Zuschauerrängen und zu Hause ganz herzlich. (Thomas Oppermann [SPD]: Die im Netz bitte auch begrüßen! – Renate Künast [GRÜNE]: Und zu Hause an den Rundfunkgeräten! – 
290793,"So wie bisher, ja?",GRÜNE,Annalena Baerbock,CDU/CSU,Detlef Seif,2015-02-05,130362,"tsprogramm auf den Weg gebracht hat, kann sich sehen lassen. Wenn Juncker und sein Team so weitermachen, dann werden sie von Deutschland zu 100 Prozent unterstützt.  (Beifall bei Abgeordneten der CDU/CSU sowie des Abg. Heinz-Joachim Barchmann [SPD] – Andrej Hunko [DIE LINKE]: Nein! Nicht von uns! – "
